variant,fee_tvl_w,vol_tvl_w,depth_w,stability_w,cost_adj_w,terminal_equity,max_drawdown,mean_net_return,rank_correlation,action_agreement,hold_agreement,churn_rate,score_vs_net_return,pool_overlap,fees_collected
baseline,0.35,0.2,0.15,0.15,0.15,1060.9775525350824,0.0003462452017970349,0.35324535496326764,0.7913532878496052,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5524763537593189,0.6666666666666666,53.93378631122989
fee_tvl_quality-0.10,0.27777777777777773,0.22222222222222224,0.16666666666666666,0.16666666666666666,0.16666666666666666,1060.9775525350824,0.0003462452017970349,0.35324535496326764,0.7855090131025689,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5471672670532257,0.6666666666666666,53.93378631122989
fee_tvl_quality-0.05,0.3157894736842105,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.15789473684210525,1060.9775525350824,0.0003462452017970349,0.35324535496326764,0.7881437688196837,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5495116641944867,0.6666666666666666,53.93378631122989
fee_tvl_quality+0.05,0.38095238095238093,0.19047619047619047,0.14285714285714285,0.14285714285714285,0.14285714285714285,1060.9775525350824,0.0003462452017970349,0.35324535496326764,0.7946441892954995,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5552580377954577,0.6666666666666666,53.93378631122989
fee_tvl_quality+0.10,0.4090909090909091,0.18181818181818185,0.13636363636363638,0.13636363636363638,0.13636363636363638,1060.9775525350824,0.0003462452017970349,0.35324535496326764,0.7962086814692239,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5565761591955463,0.6666666666666666,53.93378631122989
volume_tvl_persistence-0.10,0.38888888888888884,0.11111111111111112,0.16666666666666666,0.16666666666666666,0.16666666666666666,1039.8712617016993,0.001101105447172149,0.35558074273077106,0.797770630442449,0.2552083333333333,0.2513089005235602,0.125,0.5593419506462984,0.6666666666666666,29.227626941631467
volume_tvl_persistence-0.05,0.36842105263157887,0.15789473684210528,0.15789473684210525,0.15789473684210525,0.15789473684210525,1060.9775525350824,0.0003462452017970349,0.3532453552238716,0.7947849130564523,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.555731925796074,0.6666666666666666,53.93378631122989
volume_tvl_persistence+0.05,0.3333333333333333,0.23809523809523808,0.14285714285714285,0.14285714285714285,0.14285714285714285,1060.9775525350824,0.0003462452017970349,0.35324535496326764,0.7876317377858557,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5486139739168963,0.6666666666666666,53.93378631122989
volume_tvl_persistence+0.10,0.3181818181818181,0.27272727272727276,0.13636363636363635,0.13636363636363635,0.13636363636363635,1060.9775525350824,0.0003462452017970349,0.35324535496326764,0.7827526076282452,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5427727263971027,0.6666666666666666,53.93378631122989
liquidity_depth_quality-0.10,0.3888888888888888,0.2222222222222222,0.05555555555555553,0.16666666666666663,0.16666666666666663,1060.9775525350824,0.0003462452017970349,0.35324535450732697,0.8241660845563302,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5920599680221919,0.8333333333333334,53.93378631122989
liquidity_depth_quality-0.05,0.36842105263157887,0.21052631578947367,0.10526315789473682,0.15789473684210525,0.15789473684210525,1060.9775525350824,0.0003462452017970349,0.35324535496326764,0.8014820077042021,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5629635337404404,0.6666666666666666,53.93378631122989
liquidity_depth_quality+0.05,0.3333333333333333,0.19047619047619047,0.19047619047619047,0.14285714285714285,0.14285714285714285,1060.9775525350824,0.0003462452017970349,0.3532453552238716,0.7842730176599843,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.54464564350523,0.6666666666666666,53.93378631122989
liquidity_depth_quality+0.10,0.3181818181818181,0.18181818181818182,0.22727272727272727,0.13636363636363635,0.13636363636363635,1039.8712617016993,0.001101105447172149,0.35558074273077106,0.7756990410438651,0.2552083333333333,0.2513089005235602,0.125,0.5337943788407081,0.6666666666666666,29.227626941631467
in_range_stability-0.10,0.38888888888888884,0.22222222222222224,0.16666666666666666,0.05555555555555554,0.16666666666666666,1060.9775525350824,0.0003462452017970349,0.35324535496326764,0.7957767612511191,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5558995203328774,0.6666666666666666,53.93378631122989
in_range_stability-0.05,0.36842105263157887,0.21052631578947367,0.15789473684210525,0.10526315789473682,0.15789473684210525,1060.9775525350824,0.0003462452017970349,0.35324535496326764,0.7944068239155793,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5545317948026429,0.6666666666666666,53.93378631122989
in_range_stability+0.05,0.3333333333333333,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.14285714285714285,1060.9775525350824,0.0003462452017970349,0.35324535496326764,0.7884387800775846,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5505268632852383,0.6666666666666666,53.93378631122989
in_range_stability+0.10,0.3181818181818181,0.18181818181818182,0.13636363636363635,0.22727272727272727,0.13636363636363635,1060.9775525350824,0.0003462452017970349,0.35324535496326764,0.7866721034641782,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5494769894627343,0.6666666666666666,53.93378631122989
cost_adjusted_expected_return-0.10,0.3888888888888888,0.2222222222222222,0.16666666666666663,0.16666666666666663,0.05555555555555553,1060.9775525350824,0.0003462452017970349,0.35324535496326764,0.7642228487914711,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5183222245766793,0.6666666666666666,53.93378631122989
cost_adjusted_expected_return-0.05,0.36842105263157887,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.10526315789473682,1060.9775525350824,0.0003462452017970349,0.35324535496326764,0.7815399248569026,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5407408834351101,0.6666666666666666,53.93378631122989
cost_adjusted_expected_return+0.05,0.3333333333333333,0.19047619047619047,0.14285714285714285,0.14285714285714285,0.19047619047619047,1060.9775525350824,0.0003462452017970349,0.3532453549632676,0.7994338835688902,0.2604166666666667,0.25263157894736843,0.19791666666666666,0.5613087784862554,0.6666666666666666,53.93378631122989
